time,open,high,low,close,volume,ema,rsi,macd,macd_signal,atr,bb_mid,bb_upper,bb_lower
2026-05-04T13:10:00,118627000.0,118627000.0,118611000.0,118620000.0,4.35396621,118620000.0,,0.0,0.0,,,,
2026-05-04T13:15:00,118620000.0,118850000.0,118602000.0,118753000.0,28.34895825,118632666.66666667,,10609.686609685421,2121.937321937084,,,,
2026-05-04T13:20:00,118730000.0,118754000.0,118373000.0,118414000.0,13.47028466,118611841.26984127,,-8241.524013608694,49.24505482792847,,,,
2026-05-04T13:25:00,118414000.0,118595000.0,118400000.0,118579000.0,7.65289992,118608713.52985638,,-9754.677362173796,-1911.5394285724165,,,,
2026-05-04T13:30:00,118594000.0,118617000.0,118462000.0,118584000.0,6.40500645,118606359.86034626,,-10430.171554237604,-3615.265853705454,,,,
2026-05-04T13:35:00,118584000.0,118625000.0,118488000.0,118493000.0,5.44772157,118595563.68317042,,-18099.80180095136,-6512.173043154637,,,,
2026-05-04T13:40:00,118493000.0,118630000.0,118486000.0,118594000.0,4.34787197,118595414.76096372,,-15845.525762915611,-8378.843587106832,,,,
2026-05-04T13:45:00,118593000.0,118603000.0,118505000.0,118581000.0,4.94420472,118594041.92658623,,-14935.81632269919,-9690.238134225305,,,,
2026-05-04T13:50:00,118545000.0,118600000.0,118538000.0,118544000.0,5.23023203,118589276.0288161,,-17004.43922483921,-11153.078352348086,,,,
2026-05-04T13:55:00,118545000.0,118545000.0,118397000.0,118500000.0,9.66261165,118580773.54988123,,-21941.343900576234,-13310.731461993717,,,,
2026-05-04T14:00:00,118500000.0,118595000.0,118431000.0,118564000.0,7.48315783,118579176.06894016,,-20453.832248821855,-14739.351619359346,,,,
2026-05-04T14:05:00,118564000.0,118565000.0,118391000.0,118400000.0,3.97255925,118562111.68142205,,-32137.931869253516,-18219.067669338183,,,,
2026-05-04T14:10:00,118392000.0,118400000.0,118300000.0,118300000.0,6.46106538,118537148.66414377,,-48903.104712963104,-24355.875078063167,,,,
2026-05-04T14:15:00,118299000.0,118299000.0,118141000.0,118141000.0,8.61793389,118499420.2199396,33.07420494699646,-74164.67198693752,-34317.63445983804,155785.7142857143,,,
2026-05-04T14:20:00,118141000.0,118144000.0,118079000.0,118144000.0,9.04274935,118465570.67518345,33.21579689703809,-92872.00051227212,-46028.507670324856,159285.7142857143,,,
2026-05-04T14:25:00,118144000.0,118216000.0,118092000.0,118130000.0,6.06417203,118433611.56326121,26.020015396458817,-107587.17812600732,-58340.24176146135,150428.57142857142,,,
2026-05-04T14:30:00,118133000.0,118179000.0,118117000.0,118140000.0,3.26502762,118405648.55723633,35.876288659793815,-117092.37793017924,-70090.66899520493,127642.85714285714,,,
2026-05-04T14:35:00,118153000.0,118216000.0,118130000.0,118213000.0,3.54033643,118387301.07559478,29.157175398633257,-117381.7238972336,-79548.87997561067,119857.14285714286,,,
2026-05-04T14:40:00,118216000.0,118275000.0,118213000.0,118242000.0,3.32249126,118373462.87791908,31.042128603104217,-113957.34567885101,-86430.57311625875,113214.28571428571,,,
2026-05-04T14:45:00,118241000.0,118249000.0,118112000.0,118171000.0,10.47530938,118354180.69906965,31.746031746031747,-115639.58672508597,-92272.37583802419,113214.28571428571,118405350.0,118808155.56887385,118002544.43112615
2026-05-04T14:50:00,118171000.0,118190000.0,118084000.0,118084000.0,5.02172804,118328449.20392016,20.6221198156682,-122579.92273879051,-98333.88521817746,110500.0,118378550.0,118792395.87774475,117964704.12225525
2026-05-04T14:55:00,118084000.0,118084000.0,118055000.0,118061000.0,4.34317097,118302977.85116586,20.387243735763093,-128455.34357301891,-104358.17688914575,105571.42857142857,118343950.0,118741364.52573246,117946535.47426754
2026-05-04T15:00:00,118062000.0,118100000.0,118061000.0,118099000.0,3.0605169,118283551.38915007,24.68714448236632,-128563.37592379749,-109199.21669607611,103928.57142857143,118328200.0,118738678.33457796,117917721.66542204
2026-05-04T15:05:00,118100000.0,118100000.0,117930000.0,117932000.0,13.32502523,118250070.30446911,21.656686626746506,-140504.84427927434,-115460.34221271575,105500.0,118295850.0,118724675.21282907,117867024.78717093
2026-05-04T15:10:00,117932000.0,118027000.0,117930000.0,117979000.0,3.95940149,118224254.08499587,20.304568527918775,-144510.21299904585,-121270.31636998178,100714.28571428571,118265600.0,118694194.96276236,117837005.03723764
2026-05-04T15:15:00,117973000.0,117973000.0,117697000.0,117755000.0,11.68533161,118179563.21975817,19.138755980861248,-163870.42822963,-129790.33874191143,108428.57142857143,118228700.0,118699827.24842714,117757572.75157286
2026-05-04T15:20:00,117756000.0,117777000.0,117651000.0,117652000.0,7.92782534,118129319.10359073,19.083969465648863,-185387.74297462404,-140909.81958845397,110285.71428571429,118181600.0,118686123.70451848,117677076.29548152
2026-05-04T15:25:00,117652000.0,117655000.0,117346000.0,117586000.0,33.01115661,118077574.42705828,20.942408376963357,-205398.31443609297,-153807.51855798176,121000.0,118131850.0,118665911.40983382,117597788.59016618
2026-05-04T15:30:00,117586000.0,117650000.0,117576000.0,117602000.0,10.52658686,118032281.6244813,22.004132231404967,-217459.03778126836,-166537.82240263908,121642.85714285714,118084750.0,118631762.50827612,117537737.49172388
2026-05-04T15:35:00,117603000.0,117656000.0,117600000.0,117656000.0,5.13430625,117996445.2792926,26.48809523809524,-220122.464473024,-177254.75081671608,116785.71428571429,118042550.0,118584881.21555781,117500218.78444219
2026-05-04T15:40:00,117655000.0,117699000.0,117655000.0,117691000.0,3.26873079,117967355.25269331,28.267182962245897,-216908.65388138592,-185185.53142965006,115500.0,117998900.0,118503751.36947735,117494048.63052265
2026-05-04T15:45:00,117691000.0,117855000.0,117691000.0,117853000.0,6.94036958,117956464.27624632,33.957219251336895,-198995.74069556594,-187947.57328283324,121071.42857142857,117971550.0,118443076.28994073,117500023.71005927
2026-05-04T15:50:00,117853000.0,118002000.0,117852000.0,117988000.0,7.22103825,117959467.67850858,39.65798045602606,-171924.418505013,-184742.9423272692,127357.14285714286,117955950.0,118401660.53859039,117510239.46140961
2026-05-04T15:55:00,117988000.0,118003000.0,117856000.0,117856000.0,5.59615357,117949613.61388873,37.7812257564003,-159285.35503943264,-179651.4248697019,128071.42857142857,117941700.0,118380672.53241009,117502727.46758991
2026-05-04T16:00:00,117880000.0,117969000.0,117719000.0,117901000.0,7.22790691,117944983.74589933,42.662389735364876,-143977.9935773462,-172516.73861123077,138357.14285714287,117929550.0,118358278.58547105,117500821.41452895
2026-05-04T16:05:00,117901000.0,117921000.0,117810000.0,117811000.0,4.06895075,117932223.38914701,40.48706240487062,-137523.75888679922,-165518.14266634447,144214.2857142857,117913600.0,118334595.01184693,117492604.98815307
2026-05-04T16:10:00,117811000.0,117866000.0,117743000.0,117842000.0,2.87611471,117923630.68541873,40.168324407039016,-128426.86550945044,-158099.88723496566,150214.2857142857,117898700.0,118306854.82098676,117490545.17901324
2026-05-04T16:15:00,117842000.0,117842000.0,117733000.0,117733000.0,4.39228525,117905475.38204552,42.03362690152122,-128531.27251569927,-152186.1642911124,145857.14285714287,117874700.0,118260897.71320428,117488502.28679572
2026-05-04T16:20:00,117766000.0,117767000.0,117730000.0,117759000.0,2.89978222,117891525.34566022,41.042345276872965,-125074.25495631993,-146763.7824241539,141571.42857142858,117850550.0,118198557.54680263,117502542.45319737
2026-05-04T16:25:00,117759000.0,117780000.0,117739000.0,117771000.0,2.65305028,117880046.74131164,50.78740157480315,-119983.15282337368,-141407.65650399786,124357.14285714286,117830550.0,118145413.02786417,117515686.97213583
2026-05-04T16:30:00,117772000.0,117780000.0,117737000.0,117743000.0,3.60895563,117866994.67071053,54.83528161530286,-116860.6864477396,-136498.2624927462,118428.57142857143,117813500.0,118106765.82157706,117520234.17842294
2026-05-04T16:35:00,117737000.0,117743000.0,117599000.0,117599000.0,6.19228214,117841471.3687381,50.6378802747792,-124569.74343037605,-134112.5586802722,106642.85714285714,117790400.0,118074210.46306887,117506589.53693113
2026-05-04T16:40:00,117599000.0,117727000.0,117596000.0,117715000.0,4.38160344,117829426.47647732,55.04915102770331,-119936.44342042506,-131277.33562830277,110714.28571428571,117771200.0,118016442.39351904,117525957.60648096
2026-05-04T16:45:00,117715000.0,117900000.0,117667000.0,117841000.0,5.99648489,117830528.71681282,57.76658270361041,-104888.2859377563,-125999.52569019348,123357.14285714286,117766650.0,118002528.89399347,117530771.10600653
2026-05-04T16:50:00,117813000.0,117841000.0,117641000.0,117641000.0,5.13132973,117812478.36283064,48.15634218289085,-107857.52681671083,-122371.12591549694,134500.0,117749750.0,117969447.2797666,117530052.7202334
2026-05-04T16:55:00,117641000.0,117700000.0,117600000.0,117625000.0,3.21070943,117794623.2806563,40.578512396694215,-110231.06281226873,-119943.11329485131,129928.57142857143,117743250.0,117969876.40251257,117516623.59748743
2026-05-04T17:00:00,117625000.0,117639000.0,117574000.0,117590000.0,2.94171561,117775135.34916522,32.07207207207206,-113626.4991300255,-118679.79046188615,123857.14285714286,117740150.0,117973624.69151698,117506675.30848302
2026-05-04T17:05:00,117590000.0,117638000.0,117374000.0,117628000.0,11.029477,117761122.45876853,38.779527559055126,-111960.51334899664,-117335.93503930824,132214.2857142857,117742250.0,117970585.74079919,117513914.25920081
2026-05-04T17:10:00,117628000.0,117697000.0,117542000.0,117697000.0,4.44931993,117755015.55793343,40.1923076923077,-103875.07704366744,-114643.76344018008,125428.57142857143,117747000.0,117966845.87902965,117527154.12097035
2026-05-04T17:15:00,117697000.0,117738000.0,117635000.0,117672000.0,2.36697615,117747109.31432071,42.871794871794876,-98350.87393215299,-111385.18553857466,124857.14285714286,117747800.0,117966364.31066105,117529235.68933895
2026-05-04T17:20:00,117695000.0,117695000.0,117550000.0,117561000.0,4.25777431,117729384.61771874,36.682464454976305,-101756.68774583936,-109459.4859800276,126428.57142857143,117741300.0,117974236.494621,117508363.505379
2026-05-04T17:25:00,117561000.0,117657000.0,117558000.0,117652000.0,1.1253535,117722014.6541265,46.09450337512054,-96006.18075945973,-106768.82493591403,125714.28571428571,117731250.0,117961220.13536087,117501279.86463913
2026-05-04T17:30:00,117653000.0,117700000.0,117653000.0,117690000.0,1.60531094,117718965.6394478,46.71115347950429,-87375.37123155594,-102890.13419504242,126500.0,117716350.0,117912390.03350551,117520309.96649449
2026-05-04T17:35:00,117690000.0,117743000.0,117664000.0,117703000.0,0.98113785,117717445.10235752,46.761904761904766,-78580.5732113421,-98028.22199830237,129214.28571428571,117708700.0,117893408.13392171,117523991.86607829
2026-05-04T17:40:00,117703000.0,117754000.0,117646000.0,117742000.0,2.89065488,117719783.66403775,49.95287464655985,-67683.44572301209,-91959.26674324433,133857.14285714287,117700750.0,117862920.63787714,117538579.36212286
2026-05-04T17:45:00,117703000.0,117750000.0,117639000.0,117690000.0,2.27566907,117716947.12460558,54.69556243550051,-62522.637055799365,-86071.94080575534,131500.0,117694700.0,117848357.30838802,117541042.69161198
